Timestamp (MM/DD/YYYY HH:MM),Temperature (°C),Humidity (%),Co2 (ppm)
12/06/20 18:54:34,30.3,67.1%,567
12/06/20 18:54:35,30.4,66.9%,567
12/06/20 18:54:39,30.3,66.8%,567
12/06/20 18:54:41,30.4,66.9%,574
12/06/20 18:54:45,30.3,66.8%,574
12/06/20 18:54:47,30.3,66.8%,574
12/06/20 18:54:48,30.3,66.9%,574
12/06/20 18:54:55,30.3,66.9%,572
12/06/20 18:54:57,30.3,67.0%,568
12/06/20 18:54:58,30.3,67.7%,568
12/06/20 18:55:05,30.3,67.0%,578
12/06/20 18:55:07,30.2,66.9%,587
12/06/20 18:55:09,30.3,67.0%,587
12/06/20 18:55:11,30.2,66.9%,587
12/06/20 18:55:12,30.2,67.0%,587
12/06/20 18:55:20,30.2,67.1%,583
12/06/20 18:55:25,30.2,67.8%,583
12/06/20 18:55:27,30.2,67.1%,572
12/06/20 18:55:29,30.2,67.1%,572
12/06/20 18:55:32,30.2,67.1%,568
12/06/20 18:55:36,30.2,67.1%,568
